,precision,recall,f1-score,support
0,0.9629752752960732,0.9189103453745192,0.9404269133998864,25219.0
1,0.07129881925522252,0.14980916030534353,0.09661538461538462,1048.0
accuracy,0.8882247687212091,0.8882247687212091,0.8882247687212091,0.8882247687212091
macro avg,0.5171370472756478,0.5343597528399313,0.5185211490076355,26267.0
weighted avg,0.9273991940560834,0.8882247687212091,0.9067605456317301,26267.0
