mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_split,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,mean_train_f1,std_train_f1,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,mean_train_precision,std_train_precision,model_name,param_model__n_estimators
0.4088583787282308,0.0581761133901641,0.05591193834940592,0.01646556212414537,gini,4,2,"{'model__criterion': 'gini', 'model__max_depth': 4, 'model__min_samples_split': 2}",0.5516192221740905,0.5550518962419208,0.568269313273137,0.5583134772297161,0.007177967043046738,11,0.5722698001601422,0.5749442655088352,0.5738002248811085,0.573671430183362,0.0010956374950884628,0.08714596949891068,0.08294117647058824,0.08379544054220579,0.0846275288372349,0.0018146348210775246,3,0.08436497019715727,0.08393285371702638,0.08602150537634409,0.08477310976350926,0.0009002036316705011,0.17177914110429449,0.17300613496932515,0.16707616707616707,0.1706204810499289,0.00255577772177189,3,0.1694290976058932,0.17188459177409454,0.17177914110429449,0.17103094349476075,0.0011334939052039376,0.058381984987489574,0.05454545454545454,0.05592105263157895,0.05628283072150769,0.0015870106065450527,4,0.05616605616605617,0.05552250644457664,0.05737704918032787,0.05635520393032023,0.0007688367174836211,decision_tree,
0.37282570203145343,0.029033480699988484,0.035865068435668945,0.008462859298361323,gini,4,10,"{'model__criterion': 'gini', 'model__max_depth': 4, 'model__min_samples_split': 10}",0.5516192221740905,0.5550518962419208,0.568269313273137,0.5583134772297161,0.007177967043046738,11,0.5722698001601422,0.5749442655088352,0.5738002248811085,0.573671430183362,0.0010956374950884628,0.08714596949891068,0.08294117647058824,0.08379544054220579,0.0846275288372349,0.0018146348210775246,3,0.08436497019715727,0.08393285371702638,0.08602150537634409,0.08477310976350926,0.0009002036316705011,0.17177914110429449,0.17300613496932515,0.16707616707616707,0.1706204810499289,0.00255577772177189,3,0.1694290976058932,0.17188459177409454,0.17177914110429449,0.17103094349476075,0.0011334939052039376,0.058381984987489574,0.05454545454545454,0.05592105263157895,0.05628283072150769,0.0015870106065450527,4,0.05616605616605617,0.05552250644457664,0.05737704918032787,0.05635520393032023,0.0007688367174836211,decision_tree,
0.5003821055094401,0.02016089656066395,0.032103935877482094,0.0016266492071476538,gini,6,2,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__min_samples_split': 2}",0.5813303328334237,0.5810233185132826,0.5807163825007313,0.5810233446158125,0.00025064417443098464,5,0.6119168846833153,0.6184793227267628,0.6254790061443524,0.6186250711848101,0.005537671989247709,0.0586283185840708,0.061505832449628844,0.05733186328555678,0.05915533810641881,0.0017442891251850136,9,0.06482982171799027,0.06608410704533042,0.06427015250544663,0.06506136042292245,0.000758426176193178,0.06503067484662577,0.07116564417177915,0.06388206388206388,0.06669279430015626,0.0031973547678808456,8,0.07366482504604052,0.07427869858809086,0.07239263803680981,0.07344538722364706,0.0007854598734487652,0.05337361530715005,0.05415499533146592,0.052,0.053176203546205315,0.0008907786003190149,8,0.05788712011577424,0.059517953762911954,0.05778648383937316,0.058397185906019784,0.0007935667822407762,decision_tree,
0.48455484708150226,0.025570400777734946,0.03462139765421549,0.005766398310619253,gini,6,10,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__min_samples_split': 10}",0.5813303328334237,0.5810233185132826,0.5806395346288286,0.5809977286585116,0.00028259708699651746,6,0.6119168846833153,0.6184793227267628,0.6252908754255617,0.6185623609452132,0.005460224574301922,0.0586283185840708,0.061505832449628844,0.05733186328555678,0.05915533810641881,0.0017442891251850136,9,0.06482982171799027,0.06608410704533042,0.06374284935984745,0.06488559270772272,0.0009566276495864963,0.06503067484662577,0.07116564417177915,0.06388206388206388,0.06669279430015626,0.0031973547678808456,8,0.07366482504604052,0.07427869858809086,0.07177914110429448,0.07324088824614196,0.0010635596555692269,0.05337361530715005,0.05415499533146592,0.052,0.053176203546205315,0.0008907786003190149,8,0.05788712011577424,0.059517953762911954,0.05732484076433121,0.0582433048810058,0.000930084887299094,decision_tree,
0.5953527291615804,0.025172382557963193,0.03675063451131185,0.009895938217442534,gini,8,2,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_split': 2}",0.5677162369477472,0.5948573537529969,0.5622823817955095,0.5749519908320845,0.014248960200983068,7,0.6915088520314394,0.6879642369761556,0.7001430059316693,0.6932053649797547,0.0051146339364479465,0.04815864022662889,0.0392156862745098,0.036989795918367346,0.04145470747316868,0.0048267092130891455,13,0.11973078285511866,0.10224274406332454,0.09939854384298828,0.10712402358714383,0.008989629326946403,0.04171779141104295,0.03803680981595092,0.03562653562653563,0.0384603789511765,0.0025047165331710053,14,0.10374462860650706,0.09515039901780234,0.09631901840490797,0.09840468200973912,0.0038059330927933967,0.05695142378559464,0.04046997389033943,0.038461538461538464,0.04529431204582418,0.008283503437678065,13,0.14154103852596314,0.1104775481111903,0.1026814911706998,0.11823335926928441,0.016785520748629386,decision_tree,
0.6486782232920328,0.0870730151875801,0.0321650505065918,0.001853086255015696,gini,8,10,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_split': 10}",0.5669749424895495,0.59466309275642,0.5618325994058851,0.5744902115506183,0.014418039053099919,8,0.6907523776841711,0.6875096607233756,0.6994976221715884,0.6925865535263784,0.005063000143923997,0.046908315565031986,0.0392156862745098,0.036989795918367346,0.04103793258596971,0.004249289682605007,15,0.11359602413915514,0.10075732630885742,0.0961416824794434,0.10349834430915199,0.0073845963758778005,0.04049079754601227,0.03803680981595092,0.03562653562653563,0.03805138099616628,0.001985853342149129,16,0.09821976672805402,0.09392265193370165,0.09325153374233129,0.095131317468029,0.002200982966844425,0.05574324324324324,0.04046997389033943,0.038461538461538464,0.04489158519837371,0.007716964643347018,14,0.13468013468013468,0.10866477272727272,0.09921671018276762,0.11418720586339166,0.0149952563627589,decision_tree,
0.8862106800079346,0.018303451555180882,0.03609140714009603,0.0011683920096202144,gini,,2,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_split': 2}",0.5057773176594225,0.5105340691751805,0.5076657161413725,0.5079923676586585,0.0019556238827163016,16,1.0,1.0,1.0,1.0,0.0,0.055612770339855816,0.0636042402826855,0.05917753259779338,0.05946484774011157,0.003268823484073088,8,1.0,1.0,1.0,1.0,0.0,0.06625766871165645,0.07730061349693251,0.07248157248157248,0.07201328489672049,0.004520407601773602,6,1.0,1.0,1.0,1.0,0.0,0.04791481810115351,0.054030874785591765,0.05,0.050648564295581754,0.0025386366519509467,12,1.0,1.0,1.0,1.0,0.0,decision_tree,
0.900097131729126,0.018414206963259492,0.03133996327718099,0.0006439234106004544,gini,,10,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_split': 10}",0.5175810737056435,0.5200365314512964,0.520864385113684,0.5194939967568747,0.001394224126298845,13,0.9917549256583963,0.9910294735975697,0.9918771786334797,0.991553859296482,0.00037414054257451593,0.05871779508687837,0.06647230320699708,0.06345609065155808,0.06288206298181118,0.003191679794974538,7,0.7100999655291279,0.6981392143349414,0.7142857142857143,0.707508298049928,0.00684177951545427,0.06012269938650307,0.06993865030674846,0.0687960687960688,0.06628580616310677,0.004382867172829576,10,0.6322897483118478,0.621853898096992,0.6411042944785276,0.6317493136291225,0.007868226926327554,0.05737704918032787,0.06333333333333334,0.058885383806519455,0.05986525544006022,0.0025284305463402134,2,0.809748427672956,0.795758051846033,0.8063271604938271,0.8039445466709387,0.0059548462289915295,decision_tree,
0.404641071955363,0.014591473209314716,0.029079993565877277,0.0013931244080364722,entropy,4,2,"{'model__criterion': 'entropy', 'model__max_depth': 4, 'model__min_samples_split': 2}",0.5569805879749595,0.5617985171608681,0.5660969360434056,0.5616253470597444,0.003723747345457936,9,0.5750272080708957,0.5782772483255398,0.5743859635404855,0.5758968066456404,0.0017034622744080616,0.08714596949891068,0.08492569002123142,0.08199121522693997,0.08468762491569402,0.002111141736431729,1,0.08436497019715727,0.08546214584300975,0.09106933019976499,0.08696548207997734,0.0029362249734624017,0.17177914110429449,0.17177914110429449,0.171990171990172,0.1718494847329203,9.948091362919506e-05,1,0.1694290976058932,0.1694290976058932,0.1901840490797546,0.176347414763847,0.009783977953576758,0.058381984987489574,0.05640612409347301,0.05382545174932718,0.05620452027676326,0.0018656512467596265,6,0.05616605616605617,0.05714285714285714,0.059868675164156046,0.057725862824356454,0.0015667947280499964,decision_tree,
0.3971877098083496,0.017829081004562364,0.0354605515797933,0.006543510776902287,entropy,4,10,"{'model__criterion': 'entropy', 'model__max_depth': 4, 'model__min_samples_split': 10}",0.5569805879749595,0.5617985171608681,0.5660969360434056,0.5616253470597444,0.003723747345457936,9,0.5750272080708957,0.5782772483255398,0.5743859635404855,0.5758968066456404,0.0017034622744080616,0.08714596949891068,0.08492569002123142,0.08199121522693997,0.08468762491569402,0.002111141736431729,1,0.08436497019715727,0.08546214584300975,0.09106933019976499,0.08696548207997734,0.0029362249734624017,0.17177914110429449,0.17177914110429449,0.171990171990172,0.1718494847329203,9.948091362919506e-05,1,0.1694290976058932,0.1694290976058932,0.1901840490797546,0.176347414763847,0.009783977953576758,0.058381984987489574,0.05640612409347301,0.05382545174932718,0.05620452027676326,0.0018656512467596265,6,0.05616605616605617,0.05714285714285714,0.059868675164156046,0.057725862824356454,0.0015667947280499964,decision_tree,
